business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category
3190,NORIEGA TERIYAKI HOUSE,1755 NORIEGA St,San Francisco,CA,94122,37.753953,-122.482629,"(37.753953, -122.482629)",,3190_20180307,03/07/2018 12:00:00 AM,81,Routine - Unscheduled,3190_20180307_103114,High risk vermin infestation,High Risk
59009,Woodhouse Fish Co.,1914 FILLMORE St,San Francisco,CA,94116,37.787386,-122.433476,"(37.787386, -122.433476)",+14155432722,59009_20180927,09/27/2018 12:00:00 AM,90,Routine - Unscheduled,59009_20180927_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
24437,Caffe Baonecci,516 Green St,San Francisco,CA,94133,37.799732,-122.407589,"(37.799732, -122.407589)",,24437_20180619,06/19/2018 12:00:00 AM,94,Routine - Unscheduled,24437_20180619_103156,Permit license or inspection report not posted,Low Risk
39513,Domo,511 Laguna St,San Francisco,CA,94102,37.775902,-122.426174,"(37.775902, -122.426174)",,39513_20180817,08/17/2018 12:00:00 AM,96,Routine - Unscheduled,39513_20180817_103144,Unapproved or unmaintained equipment or utensils,Low Risk
7711,RICHMOND NEW MAY WAH SUPERMARKET,719 CLEMENT St,San Francisco,CA,94118,37.782784,-122.467028,"(37.782784, -122.467028)",,7711_20180726,07/26/2018 12:00:00 AM,74,Routine - Unscheduled,7711_20180726_103152,Unclean unmaintained or improperly constructed toilet facilities,Low Risk
10170,Piaza Pellegrini,659 Columbus Ave,San Francisco,CA,94133,37.800851,-122.411062,"(37.800851, -122.411062)",,10170_20180501,05/01/2018 12:00:00 AM,82,Routine - Unscheduled,10170_20180501_103114,High risk vermin infestation,High Risk
34352,The Olympic Club Cafe,524 Post St Basement,San Francisco,CA,94102,37.787978,-122.410904,"(37.787978, -122.410904)",,34352_20180308,03/08/2018 12:00:00 AM,92,Routine - Unscheduled,34352_20180308_103120,Moderate risk food holding temperature,Moderate Risk
16349,L's Cafe,2871 24th St,San Francisco,CA,94110,37.752764,-122.409588,"(37.752764, -122.409588)",,16349_20180227,02/27/2018 12:00:00 AM,90,Routine - Unscheduled,16349_20180227_103154,Unclean or degraded floors walls or ceilings,Low Risk
5870,CARMICHAEL ELEMENTARY SCHOOL,55 SHERMAN St,San Francisco,CA,94103,37.776948,-122.406342,"(37.776948, -122.406342)",+14155246294,5870_20181018,10/18/2018 12:00:00 AM,90,Routine - Unscheduled,5870_20181018_103120,Moderate risk food holding temperature,Moderate Risk
151,BUS STOP PIZZA #1,256 Divisadero St,San Francisco,CA,94117,37.771487,-122.437047,"(37.771487, -122.437047)",+14155629119,151_20180514,05/14/2018 12:00:00 AM,81,Routine - Unscheduled,151_20180514_103120,Moderate risk food holding temperature,Moderate Risk
48,ART'S CAFE,747 IRVING St,San Francisco,CA,94122,37.764013,-122.465749,"(37.764013, -122.465749)",,48_20180216,02/16/2018 12:00:00 AM,94,Routine - Unscheduled,48_20180216_103154,Unclean or degraded floors walls or ceilings,Low Risk
2279,Golden Donuts,5401 GEARY Blvd,San Francisco,CA,94121,37.780353,-122.477399,"(37.780353, -122.477399)",,2279_20180622,06/22/2018 12:00:00 AM,92,Routine - Unscheduled,2279_20180622_103147,Inadequate ventilation or lighting,Low Risk
2599,HONG KONG RESTAURANT,2728 SAN BRUNO Ave,San Francisco,CA,94134,37.727159,-122.403452,"(37.727159, -122.403452)",+14155461818,2599_20180409,04/09/2018 12:00:00 AM,79,Routine - Unscheduled,2599_20180409_103102,Unclean hands or improper use of gloves,High Risk
1830,Sushi on North Beach,745 Columbus Ave,San Francisco,CA,94133,37.801616,-122.412137,"(37.801616, -122.412137)",,1830_20181211,12/11/2018 12:00:00 AM,82,Routine - Unscheduled,1830_20181211_103120,Moderate risk food holding temperature,Moderate Risk
59986,Tsunami Panhandle,1306 Fulton St,San Francisco,CA,94117,37.776838,-122.438563,"(37.776838, -122.438563)",,59986_20180501,05/01/2018 12:00:00 AM,87,Routine - Unscheduled,59986_20180501_103144,Unapproved or unmaintained equipment or utensils,Low Risk
2145,FRINGALE,570 04th St,San Francisco,CA,94107,37.778657,-122.397009,"(37.778657, -122.397009)",,2145_20180517,05/17/2018 12:00:00 AM,87,Routine - Unscheduled,2145_20180517_103145,Improper storage of equipment utensils or linens,Low Risk
69388,Dragoneats,520 Gough St,San Francisco,CA,94102,37.778357,-122.423237,"(37.778357, -122.423237)",,69388_20181203,12/03/2018 12:00:00 AM,89,Routine - Unscheduled,69388_20181203_103107,Improper reheating of food,High Risk
2638,SF BAGEL CO. (KATZ BAGELS),3147 16th St,San Francisco,CA,94103,37.764814,-122.423089,"(37.764814, -122.423089)",+14155559050,2638_20180110,01/10/2018 12:00:00 AM,79,Routine - Unscheduled,2638_20180110_103154,Unclean or degraded floors walls or ceilings,Low Risk
1617,CLEMENT BBQ RESTAURANT,617 CLEMENT St,San Francisco,CA,94118,37.782843,-122.4659,"(37.782843, -122.4659)",+14155663328,1617_20180522,05/22/2018 12:00:00 AM,71,Routine - Unscheduled,1617_20180522_103120,Moderate risk food holding temperature,Moderate Risk
2716,RED A BAKERY,634 CLEMENT St,San Francisco,CA,94118,37.782888,-122.466101,"(37.782888, -122.466101)",+14155668881,2716_20180917,09/17/2018 12:00:00 AM,78,Routine - Unscheduled,2716_20180917_103145,Improper storage of equipment utensils or linens,Low Risk
6660,Tuong Phong Market,628 Ellis St,San Francisco,CA,94102,37.784408,-122.416614,"(37.784408, -122.416614)",,6660_20181023,10/23/2018 12:00:00 AM,83,Routine - Unscheduled,6660_20181023_103139,Improper food storage,Low Risk
1852,Pat's Cafe,2330 Taylor St,San Francisco,CA,94133,37.803947,-122.414927,"(37.803947, -122.414927)",,1852_20180820,08/20/2018 12:00:00 AM,92,Routine - Unscheduled,1852_20180820_103138,Improper storage use or identification of toxic substances,Low Risk
33468,Stacks Restaurant,501 Hayes St,San Francisco,CA,94102,37.776623,-122.424787,"(37.776623, -122.424787)",,33468_20180814,08/14/2018 12:00:00 AM,85,Routine - Unscheduled,33468_20180814_103120,Moderate risk food holding temperature,Moderate Risk
71056,The Iron Cactus,683 04th St,San Francisco,CA,94107,37.77741,-122.395283,"(37.77741, -122.395283)",,71056_20180417,04/17/2018 12:00:00 AM,87,Routine - Unscheduled,71056_20180417_103131,Moderate risk vermin infestation,Moderate Risk
587,NEW TSING TAO RESTAURANT,811 ULLOA St,San Francisco,CA,94127,37.740654,-122.465389,"(37.740654, -122.465389)",+14155569559,587_20181203,12/03/2018 12:00:00 AM,70,Routine - Unscheduled,587_20181203_103138,Improper storage use or identification of toxic substances,Low Risk
2697,HOWARD'S CAFE,1309 09th Ave,San Francisco,CA,94122,37.758941,-122.48591,"(37.758941, -122.48591)",,2697_20180927,09/27/2018 12:00:00 AM,75,Routine - Unscheduled,2697_20180927_103153,Inadequate dressing rooms or improper storage of personal items,Low Risk
68644,Central Kitchen & Salumeria,782 Florida,San Francisco,CA,94110,37.759379,-122.410915,"(37.759379, -122.410915)",,68644_20180110,01/10/2018 12:00:00 AM,83,Routine - Unscheduled,68644_20180110_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
